"track.id","track.name","track.popularity","track.album.release_date","track.duration_ms","track.explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","key_name","mode_name","key_mode","time_signature","genre","color"
"0V6GWgubCBR8955ZWtJ4WR","Choir Of Spirits",1,"2022-05-06",405439,FALSE,0.62,0.701,1,-9.663,1,0.0445,0.000809,0.865,0.119,0.187,134.999,"C#","major","C# major",4,"Techno","#E6AB02"
"4wZ7ZLN0dtrNHs7S4yF5Lv","Fuego - Julian Jeweil Remix",45,"2016-10-28",392409,FALSE,0.803,0.852,1,-7.911,0,0.0493,9.02e-05,0.901,0.0712,0.103,124.981,"C#","minor","C# minor",4,"Techno","#E6AB02"
"1WFlFVMRyCc0tP0tdQCaDw","Croce",57,"2023-10-06",334285,FALSE,0.695,0.862,10,-10.511,0,0.0823,0.261,0.752,0.126,0.158,139.985,"A#","minor","A# minor",4,"Techno","#E6AB02"
"5sbW84zLB10R64fqiukiEa","Poetry - Edit",53,"2021-04-09",211578,FALSE,0.542,0.978,7,-4.555,1,0.0599,0.000219,0.0138,0.472,0.0923,133.006,"G","major","G major",4,"Techno","#E6AB02"
"4Elb9ia3RBhTDtJN8qe29k","You and Me",59,"2023-11-17",191408,FALSE,0.589,0.902,6,-3.478,0,0.0398,0.00574,0.288,0.141,0.255,141.988,"F#","minor","F# minor",4,"Techno","#E6AB02"
"3T8drVfyLMXG9eyOCqJgjb","LXR02",48,"2023-06-23",399022,FALSE,0.646,0.855,11,-7.613,0,0.0449,0.00139,0.759,0.073,0.303,138.008,"B","minor","B minor",4,"Techno","#E6AB02"
"5N80aklIwhM08q633wWQCK","Colonia",1,"2022-09-30",234546,FALSE,0.67,0.969,6,-4.975,1,0.0586,0.00132,0.855,0.0848,0.192,132.002,"F#","major","F# major",4,"Techno","#E6AB02"
"1khq5gFJaY6ztqQ92tbD3l","Akuma",51,"2023-06-09",264827,FALSE,0.764,0.958,11,-4.063,0,0.102,0.013,0.84,0.129,0.343,145.012,"B","minor","B minor",4,"Techno","#E6AB02"
"2BfFW4C5SIgbp33539WAah","Rock With Me",2,"2021-10-29",205696,FALSE,0.744,0.697,10,-9.033,0,0.0575,0.00189,0.855,0.62,0.434,129.994,"A#","minor","A# minor",4,"Techno","#E6AB02"
"2TzmzknUmcesfodpvJ28KT","Would I Lie To You",61,"2024-03-28",122848,FALSE,0.761,0.925,1,-4.959,1,0.134,0.0229,0.0179,0.352,0.44,144.922,"C#","major","C# major",4,"Techno","#E6AB02"
"0y8KoK8Mo4zDmdLPpgEsZf","Disturbia",48,"2024-02-23",170689,FALSE,0.625,0.956,4,-5.567,1,0.056,0.0387,0.0598,0.328,0.19,144.925,"E","major","E major",4,"Techno","#E6AB02"
"3gaIIBUh8npzwh1ObuEVdM","Always Believed",40,"2023-05-05",350075,FALSE,0.843,0.628,7,-10.034,1,0.132,0.233,0.835,0.0923,0.0364,133.006,"G","major","G major",4,"Techno","#E6AB02"
"3K86NkImdmjzBYZamJvx4T","My Cosmos Is Mine - ANNA Remix",45,"2023-06-16",481907,FALSE,0.552,0.78,9,-7.887,0,0.0413,0.051,0.856,0.145,0.0396,128.004,"A","minor","A minor",4,"Techno","#E6AB02"
"4zJfhEIt8R2w84v2gQZIvc","Rave With Kenzo",50,"2024-03-07",120020,FALSE,0.346,0.956,2,-4.953,0,0.178,0.0143,0.854,0.198,0.244,153.961,"D","minor","D minor",4,"Techno","#E6AB02"
"2EHdG8AvxtuZGLk74YQUXt","Gravity",51,"2023-02-17",365568,FALSE,0.753,0.914,7,-4.186,1,0.0524,0.000126,0.882,0.0906,0.351,132.009,"G","major","G major",4,"Techno","#E6AB02"
